ColumnName
Date
Risk-Free Rate
Quantum Capital
Crescent Strategies
Echo Advisors
Quantum Group
Quantum LP
Meridian Capital
Adaptive Partners
Echo Strategies
Vista LP
Adaptive Group
Echo Group
Meridian Strategies
Axiom LP
Crescent Capital
Sentinel Management
Ascent Holdings
Sentinel Strategies
Ascent Partners
Quantum Management
Quantum Investments
Ascent LP
Axiom Group
Crescent LP
Echo Partners
Adaptive Strategies
Crescent Partners
Meridian Holdings
Axiom Investments
Sentinel Investments
Ascent Strategies
Forge Advisors
Vista Strategies
Sentinel Global
Ascent Capital
Echo Capital
Ascent Management
Echo LP
Axiom Management
Axiom Advisors
Crescent Advisors
Vista Holdings
Forge Management
Sentinel Group
Axiom Partners
Sentinel Advisors
Meridian LP
Crescent Group
Crescent Management
Adaptive Holdings
Vista Advisors
Vista Partners
Forge Strategies
Vista Capital
Forge Investments
Axiom Capital
Forge Partners
Quantum Global
Sentinel Holdings
Ascent Global
Vista Global
Quantum Strategies
Forge Group
Adaptive Investments
Echo Holdings
Axiom Strategies
Forge LP
Meridian Global
Adaptive Management
Meridian Advisors
Crescent Global
Axiom Global
Echo Management
Adaptive Advisors
Axiom Holdings
Meridian Group
Adaptive Capital
Forge Global
Vista Group
Sentinel Capital
Sentinel Partners
Forge Capital
Echo Investments
Adaptive Global
Quantum Partners
Crescent Holdings
Ascent Advisors
Quantum Advisors
Ascent Group
Quantum Holdings
Sentinel LP
Meridian Investments
Meridian Partners
Meridian Management
Forge Holdings
Echo Global
Ascent Investments
Adaptive LP
Crescent Investments
Vista Investments
Vista Management
EqualWeight_60
EqualWeight_40
