fund,effective_date,end_date
Bloomberg US Tbill Index 1-3 Months,2004-01-31,
HYDRA Platform Metori Global Trend Cell,2004-01-31,
Metori Epsilon Diversified Program,2004-01-31,
Quantica Managed Futures Program,2004-01-31,
AlphaSimplex Managed Futures Strategy,2004-01-31,
Aspect Diversified Programme,2004-01-31,
Crabel Advanced Trend Program,2004-01-31,
Welton Trend,2004-01-31,
Winton Trend Fund,2004-01-31,
Lynx Fund,2004-01-31,
Transtrend Diversified Trend Program,2004-01-31,
DUNN WMA Program,2004-01-31,
SMN Diversified Futures Fund,2004-01-31,
Systematica BlueTrend,2004-01-31,
Winton Diversified Macro,2004-01-31,
The Winton Fund,2004-01-31,
AlphaQuest Original Program,2004-01-31,
Drury Diversified Trend-Following Program,2004-01-31,
Rotella Qdeck Systematic Trend Program,2004-01-31,
Kaiser Global Diversified Program,2004-01-31,
FORT Global Trend Program,2004-01-31,
FORT Global Contrarian Program,2004-01-31,
FORT Global Diversified Program,2004-01-31,
FORT Global Futures Program,2004-01-31,
Campbell Managed Futures Portfolio,2004-01-31,
Graham K4D-10V,2004-01-31,
ETC Evolution Strategy,2004-01-31,
Auspice Diversified Trust,2004-01-31,
Conquest Managed Futures Select (MFS),2004-01-31,
Trend Plus Strategy (PGIM),2004-01-31,
Revolution Mosaic Institutional Program,2004-01-31,
KeyQuant Key Trends Fund,2004-01-31,
AHL Evolution,2004-01-31,
Millburn Commodity Program,2004-01-31,
AHL Dimension,2004-01-31,
Aspect Alternative Markets Programme,2004-01-31,
Systematica Alternative Markets,2004-01-31,
AQR Managed Futures UCITS Fund,2004-01-31,
Fulcrum Multi Asset Trend Fund,2004-01-31,
PIMCO  Managed Futures Strategy Fund,2004-01-31,
Man AHL Trend Alternative,2004-01-31,
PIMCO TRENDS Managed Futures Strategy Fund6,2004-01-31,
CFM ISTrends Program,2004-01-31,
ISAM Vector,2004-01-31,
Mulvaney Global Markets Fund,2004-01-31,
One River Systematic Trend Fund,2004-01-31,
Episteme Trend,2004-01-31,
IIM Crystal Bay Ubitrend,2004-01-31,
Florin Court Capital Fund,2004-01-31,
Aspect Core Trend HV,2004-01-31,
SPQI Select Trading Program,2004-01-31,
Crossborder Kintore,2004-01-31,
John Street Systematic Strategy,2004-01-31,
ROW Diversified Fund,2004-01-31,
John Street Vantage Strategy,2004-01-31,
GSAM Managed Futures Strategy Fund,2004-01-31,
Global Tactical Allocation Program (GTAP),2004-01-31,
Crabel Gemini Program,2004-01-31,
GAM Systematic Core Macro Fund,2004-01-31,
RGN Smart Alpha Program,2004-01-31,
SMN Structural Alpha Trend,2004-01-31,
Efficient Absolute Return 2.0F,2004-01-31,
RGN Diversified Program,2004-01-31,
Altiq Futures Program,2004-01-31,
Dormouse Density,2004-01-31,
Gresham ACAR Strategy,2004-01-31,
Arctic Blue Fund,2004-01-31,
Higher Moment Capital Aurora Fund,2004-01-31,
Boronia Diversified Program,2004-01-31,
GAM Systematic Multi Strategy Fund,2004-01-31,
Conquest Macro Fund,2004-01-31,
Efficient Capital Best Trend 15v,2004-01-31,
Abrdn MOSERS Trend,2004-01-31,
HFRXSDV Base,2004-01-31,
SG Trend Index,2004-01-31,
