     cagr      vol    sharpe   sortino  information_ratio  max_drawdown
 0.170227 0.276749  0.615094  1.058297           0.705801      0.315508
 0.189406 0.253068  0.748442  1.467684           0.810318      0.288218
 0.056571 0.232825  0.242978  0.392124           0.351273      0.583821
 0.113854 0.229046  0.497079  0.826058           0.585789      0.294718
 0.115379 0.286861  0.402212  0.601742           0.526447      0.413955
-0.016745 0.292779 -0.057194 -0.079182           0.091033      0.449036
 0.109001 0.274435  0.397184  0.668709           0.511415      0.404569
 0.141606 0.246834  0.573687  0.984646           0.659281      0.275215
 0.125813 0.246386  0.510632  0.797538           0.605760      0.374686
-0.081442 0.260066 -0.313160 -0.431674          -0.197588      0.379740
-0.206470 0.192373 -1.073279 -1.193517          -1.095464      0.397547
 0.064164 0.267360  0.239990  0.364630           0.367155      0.453754
 0.035515 0.256544  0.138434  0.214152           0.263327      0.465135
 0.046487 0.256897  0.180957  0.290580           0.301834      0.296555
-0.132706 0.274298 -0.483805 -0.631336          -0.379458      0.416257
-0.100803 0.358380 -0.281275 -0.440716          -0.128716      0.324430
 0.186537 0.258516  0.721567  1.555550           0.787268      0.279213
-0.079783 0.250574 -0.318402 -0.454984          -0.207584      0.397083
 0.147707 0.385440  0.383218  0.787311           0.532451      0.246451
 0.034261 0.229797  0.149091  0.228919           0.259257      0.495867
-0.045870 0.232791 -0.197045 -0.272194          -0.086248      0.364317
 0.081439 0.267310  0.304662  0.499093           0.423842      0.275540
 0.015206 0.210711  0.072167  0.105296           0.174726      0.311216
-0.023761 0.122003 -0.194761 -0.280519          -0.141922      0.087164
 0.048059 0.247633  0.194076  0.326344           0.307291      0.278250
 0.174264 0.203164  0.857747  1.583628           0.891988      0.131960
 0.210683 0.272140  0.774172  1.404294           0.838471      0.343440
 0.100846 0.260966  0.386434  0.639808           0.496489      0.479000
 0.097287 0.413961  0.235014  0.452784           0.408323      0.279209
 0.094475 0.245968  0.384096  0.553351           0.491376      0.215387
 0.042402 0.393962  0.107629  0.158760           0.300684      0.407219
-0.015218 0.253457 -0.060043 -0.084989           0.063332      0.247975
-0.131004 0.205559 -0.637305 -0.802317          -0.583729      0.240285
