Period,action,manager,firm,reason,detail
2007-02-28,added,Fulcrum Multi Asset Trend Fund,Fulcrum,seed,initial portfolio seed
2007-02-28,added,Lynx Fund,Lynx,seed,initial portfolio seed
2007-02-28,added,FORT Global Contrarian Program,FORT,seed,initial portfolio seed
2007-02-28,added,Campbell Managed Futures Portfolio,Campbell,seed,initial portfolio seed
2007-02-28,added,Kaiser Global Diversified Program,Kaiser,seed,initial portfolio seed
2007-02-28,added,Boronia Diversified Program,Boronia,seed,initial portfolio seed
2007-02-28,added,ETC Evolution Strategy,ETC,seed,initial portfolio seed
2007-02-28,added,The Winton Fund,The,seed,initial portfolio seed
2009-02-28,dropped,Campbell Managed Futures Portfolio,Campbell,z_exit,zscore=-1.788
2009-02-28,added,Quantica Managed Futures Program,Quantica,z_entry,zscore=1.005
2009-02-28,added,Systematica BlueTrend,Systematica,z_entry,zscore=1.451
2010-02-28,dropped,FORT Global Contrarian Program,FORT,z_exit,zscore=-1.574
2010-02-28,added,RGN Diversified Program,RGN,z_entry,zscore=1.531
2012-02-29,dropped,RGN Diversified Program,RGN,z_exit,zscore=-1.595
2012-02-29,added,Auspice Diversified Trust,Auspice,z_entry,zscore=1.539
2012-02-29,added,Drury Diversified Trend-Following Program,Drury,z_entry,zscore=1.373
2014-02-28,dropped,Boronia Diversified Program,Boronia,low_weight_strikes,below min 5.00% for 2 periods
2014-02-28,dropped,Drury Diversified Trend-Following Program,Drury,low_weight_strikes,below min 5.00% for 2 periods
2015-02-28,added,AHL Evolution,AHL,z_entry,zscore=2.198
2015-02-28,added,Higher Moment Capital Aurora Fund,Higher,z_entry,zscore=1.822
2015-02-28,dropped,Auspice Diversified Trust,Auspice,low_weight_strikes,below min 5.00% for 2 periods
2016-02-29,dropped,Fulcrum Multi Asset Trend Fund,Fulcrum,z_exit,zscore=-1.670
2016-02-29,added,AHL Dimension,AHL,z_entry,zscore=1.412
2016-02-29,added,AlphaSimplex Managed Futures Strategy,AlphaSimplex,z_entry,zscore=1.298
2016-02-29,dropped,AHL Dimension,AHL,one_per_firm,duplicate firm pruned
2017-02-28,added,Millburn Commodity Program,Millburn,z_entry,zscore=2.680
2018-02-28,dropped,Systematica BlueTrend,Systematica,z_exit,zscore=-1.260
2018-02-28,added,John Street Vantage Strategy,John,z_entry,zscore=2.628
2019-02-28,dropped,Higher Moment Capital Aurora Fund,Higher,rebalance,zscore=nan
2019-02-28,dropped,ETC Evolution Strategy,ETC,low_weight_strikes,below min 5.00% for 2 periods
2020-02-29,dropped,AlphaSimplex Managed Futures Strategy,AlphaSimplex,z_exit,zscore=-1.176
2020-02-29,added,Dormouse Density,Dormouse,z_entry,zscore=2.139
2020-02-29,added,John Street Systematic Strategy,John,z_entry,zscore=1.328
2020-02-29,added,Systematica Alternative Markets,Systematica,z_entry,zscore=1.690
2020-02-29,dropped,John Street Vantage Strategy,John,one_per_firm,duplicate firm pruned
2020-02-29,dropped,The Winton Fund,The,low_weight_strikes,below min 5.00% for 2 periods
2020-02-29,dropped,Lynx Fund,Lynx,low_weight_strikes,below min 5.00% for 2 periods
2020-02-29,added,FORT Global Contrarian Program,FORT,replacement,filled from highest zscore sidelined
2021-02-28,added,Gresham ACAR Strategy,Gresham,z_entry,zscore=1.162
2021-02-28,added,John Street Vantage Strategy,John,z_entry,zscore=1.179
2021-02-28,dropped,John Street Vantage Strategy,John,one_per_firm,duplicate firm pruned
2022-02-28,added,Global Tactical Allocation Program (GTAP),Global,z_entry,zscore=1.895
2023-02-28,dropped,FORT Global Contrarian Program,FORT,z_exit,zscore=-1.966
2023-02-28,added,Welton Trend,Welton,z_entry,zscore=1.824
2024-02-29,dropped,Dormouse Density,Dormouse,z_exit,zscore=-1.570
2024-02-29,added,Florin Court Capital Fund,Florin,z_entry,zscore=1.266
2025-02-28,dropped,Millburn Commodity Program,Millburn,rebalance,zscore=nan
2025-02-28,dropped,Kaiser Global Diversified Program,Kaiser,low_weight_strikes,below min 5.00% for 2 periods
