Manager,Years,OOS CAGR,Contribution Share
AHL Evolution,10.75,0.09020182825290668,0.13408722659043149
Kaiser Global Diversified Program,17.583333333333332,0.06196342627686069,0.12049405294007456
Millburn Commodity Program,7.833333333333333,0.09676147553166459,0.10865140041982568
Fulcrum Multi Asset Trend Fund,8.833333333333334,0.08818112750504459,0.09610258439483373
Quantica Managed Futures Program,16.583333333333332,0.05661227594933371,0.09459574098301467
The Winton Fund,12.583333333333334,0.068405661064042,0.09408003496699718
ETC Evolution Strategy,11.583333333333334,0.061204136032173784,0.06713279927857464
Lynx Fund,12.583333333333334,0.05579184745975008,0.06673088867463627
Systematica Alternative Markets,6.0,0.09751615634440114,0.06167080190154993
John Street Systematic Strategy,6.0,0.084285450235841,0.04675810666334874
Systematica BlueTrend,8.75,0.032577990975271476,0.04434963906252381
Higher Moment Capital Aurora Fund,3.75,0.0764801325011022,0.04399868073669592
Boronia Diversified Program,6.916666666666667,0.06926184323134055,0.042347118859337056
Gresham ACAR Strategy,5.0,0.061449909646447365,0.029407759040801767
FORT Global Contrarian Program,6.0,0.004041965161082572,0.025421692305439808
John Street Vantage Strategy,1.8333333333333333,0.050615741163205774,0.017662610445353336
Dormouse Density,4.0,0.00877604584834657,0.014073660762645795
Global Tactical Allocation Program (GTAP),4.0,0.032692018799299394,0.011162609955465419
Campbell Managed Futures Portfolio,2.0,-0.0085712129879707,0.002447076398863376
Welton Trend,3.0,-0.01580260242885767,0.001402182722512211
Drury Diversified Trend-Following Program,1.9166666666666667,-0.0849941486488146,-0.014103122226291
Auspice Diversified Trust,2.8333333333333335,-0.08715662913855793,-0.019547331682811492
RGN Diversified Program,2.0,-0.09979991341087902,-0.0229262188013029
AlphaSimplex Managed Futures Strategy,3.75,-0.07672523141792342,-0.03053146717400091
Florin Court Capital Fund,2.0,-0.1108205398427059,-0.03546852721851901
