     cagr      vol    sharpe   sortino  information_ratio  max_drawdown
 0.093391 0.137129  0.681042  1.186136           0.720328      0.093414
 0.069888 0.105153  0.664635  1.154672           0.696052      0.140088
 0.118594 0.138901  0.853805  1.338845           0.879527      0.200993
 0.052359 0.124608  0.420190  0.639574           0.472282      0.225455
-0.053978 0.149001 -0.362263 -0.470608          -0.297639      0.342425
 0.068724 0.134206  0.512079  0.866704           0.562177      0.206628
 0.088181 0.118454  0.744431  1.307396           0.773969      0.131598
 0.104424 0.134752  0.774933  1.550638           0.804874      0.188953
 0.061402 0.123660  0.496538  0.801969           0.544350      0.239603
 0.059164 0.119464  0.495245  0.765516           0.541474      0.193701
-0.099800 0.101254 -0.985639 -1.126294          -0.984716      0.191471
-0.084994 0.092550 -0.918356 -1.031694          -0.911400      0.170370
-0.100358 0.092339 -1.086846 -1.208604          -1.095464      0.208828
 0.065963 0.140965  0.467936  0.678829           0.524759      0.165411
-0.130642 0.160708 -0.812912 -0.855541          -0.782105      0.273803
 0.107488 0.120381  0.892898  1.699712           0.910355      0.097943
-0.076725 0.123903 -0.619236 -0.780611          -0.580994      0.278913
 0.096761 0.121052  0.799337  1.543225           0.824830      0.157801
-0.024374 0.127289 -0.191488 -0.275032          -0.131308      0.187044
-0.010399 0.115997 -0.089647 -0.123191          -0.032944      0.156715
-0.135010 0.106487 -1.267861 -1.366498          -1.301374      0.358724
 0.050616 0.127460  0.397110  0.669267           0.448546      0.078215
 0.027745 0.125282  0.221464  0.323688           0.280751      0.198279
 0.067372 0.181575  0.371044  0.607108           0.446705      0.194885
 0.055182 0.130850  0.421724  0.673904           0.475658      0.165702
 0.046964 0.118979  0.394724  0.614167           0.444699      0.218871
 0.082060 0.061700  1.329994  4.597411           1.310238      0.018834
 0.032065 0.082797  0.387275  0.600634           0.421315      0.078605
 0.061450 0.116619  0.526928  0.909815           0.569437      0.253149
 0.079112 0.121881  0.649093  1.199124           0.685036      0.217633
 0.064905 0.198701  0.326645  0.629323           0.408323      0.135537
 0.085077 0.126869  0.670585  1.175582           0.706793      0.176192
-0.038254 0.133324 -0.286926 -0.345264          -0.228970      0.102747
 0.069863 0.132851  0.525877  0.856350           0.570645      0.061529
 0.118116 0.232451  0.508135  0.806389           0.590591      0.137182
-0.031650 0.121044 -0.261476 -0.353552          -0.206208      0.254296
-0.033415 0.095436 -0.350135 -0.490171          -0.310027      0.191247
 0.166193 0.161451  1.029375  2.675863           1.031729      0.124036
-0.059906 0.085773 -0.698426 -0.930878          -0.679148      0.121146
-0.076736 0.084855 -0.904325 -1.143490          -0.899011      0.091580
 0.101016 0.079885  1.264515  3.164662           1.245434      0.036262
