     cagr      vol    sharpe   sortino  information_ratio  max_drawdown
 0.100192 0.117438  0.853151  1.584361           0.873164      0.123728
 0.148692 0.140463  1.058584  1.719944           1.061772      0.184444
 0.034867 0.107689  0.323774  0.468434           0.372029      0.127617
 0.081756 0.111724  0.731771  1.316929           0.760220      0.096728
-0.087395 0.169003 -0.517123 -0.643742          -0.456701      0.219650
 0.129586 0.126484  1.024527  2.152619           1.028923      0.145545
 0.046246 0.100668  0.459391  0.779284           0.498898      0.119887
 0.070693 0.157714  0.448235  0.708714           0.509906      0.096045
 0.123606 0.120372  1.026865  1.882387           1.031284      0.093136
 0.221140 0.128470  1.721330  3.367541           1.626783      0.048533
 0.159231 0.127472  1.249143  2.430884           1.226489      0.109639
 0.035040 0.127108  0.275670  0.408409           0.334577      0.303803
 0.027535 0.167428  0.164457  0.266278           0.243639      0.258965
-0.082299 0.100479 -0.819068 -0.955316          -0.802933      0.180087
-0.036885 0.102709 -0.359117 -0.466134          -0.315867      0.138473
-0.021724 0.107363 -0.202337 -0.294518          -0.152475      0.194229
-0.014291 0.072483 -0.197165 -0.305824          -0.165417      0.075927
 0.118211 0.122427  0.965556  1.772531           0.976869      0.099070
 0.001659 0.124359  0.013341  0.016022           0.078548      0.197021
 0.054248 0.088078  0.615906  0.972071           0.643890      0.114688
 0.049381 0.086362  0.571786  0.901103           0.601215      0.105590
 0.104905 0.143720  0.729924  1.094180           0.768184      0.167941
-0.266947 0.161337 -1.654590 -1.580549          -1.823648      0.267197
-0.064614 0.138779 -0.465593 -0.606547          -0.412173      0.324415
-0.026433 0.168097 -0.157251 -0.224327          -0.081922      0.110700
-0.044172 0.157898 -0.279749 -0.424259          -0.214617      0.161225
 0.109204 0.125331  0.871329  1.665324           0.891339      0.175238
-0.080016 0.119475 -0.669732 -0.844361          -0.637260      0.327310
 0.012004 0.116128  0.103369  0.155271           0.158202      0.159200
 0.140004 0.237677  0.589049  1.293777           0.662584      0.146883
-0.003963 0.089482 -0.044283 -0.070326          -0.000969      0.141715
 0.082860 0.131219  0.631461  1.106478           0.671770      0.083603
 0.071499 0.083698  0.854243  1.428273           0.868068      0.087111
 0.077916 0.118838  0.655646  1.085760           0.691448      0.104524
-0.033868 0.115489 -0.293254 -0.437215          -0.245278      0.120138
 0.151803 0.127421  1.191348  2.714124           1.176189      0.127261
 0.017767 0.171733  0.103457  0.160346           0.181205      0.144415
 0.036319 0.099187  0.366166  0.551532           0.405847      0.054382
-0.006708 0.113358 -0.059175 -0.090794          -0.005387      0.128230
-0.033104 0.128417 -0.257789 -0.313841          -0.201169      0.097781
 0.073553 0.078097  0.941809  1.664323           0.947122      0.038194
 0.073290 0.119383  0.613902  1.078256           0.652065      0.211067
 0.169473 0.261806  0.647324  1.470363           0.715646      0.105719
 0.014346 0.117264  0.122339  0.176458           0.178834      0.216644
 0.026292 0.129548  0.202953  0.354488           0.261563      0.211971
 0.048080 0.140736  0.341635  0.568788           0.401134      0.168308
 0.095167 0.157770  0.603201  0.955248           0.651442      0.087479
-0.081552 0.112468 -0.725116 -1.008457          -0.700842      0.268074
-0.094737 0.091491 -1.035473 -1.180641          -1.040947      0.156907
 0.215476 0.107994  1.995263  6.446493           1.870054      0.037969
